CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
110,Kyrgyzstan,KGZ,Other Regions,False,False,,26.922859195524463,49.15469555063828,0.007162041181736795,25.773195876288657,4,Comparable partial,25.464478165908286,25.464478165908286,85.0
111,Laos,LAO,Other Regions,False,False,,14.797010374318818,44.353314640050776,0.007162041181736795,,3,Low coverage,19.719162351850443,,
112,Latvia,LVA,Other Regions,False,False,1.0,38.40861338851633,52.99452225034637,1.0662488809310653,16.099656357388312,5,Full coverage,21.913808175436415,21.913808175436415,98.0
113,Lebanon,LBN,Other Regions,False,False,,11.031065445413368,27.666781605345978,0.3366159355416294,48.453608247422686,4,Comparable partial,21.87201780843092,21.87201780843092,99.0
114,Lesotho,LSO,Other Regions,False,False,,12.256393364900006,42.68160233374786,0.0035810205908683975,,3,Low coverage,18.313858906412914,,
115,Liberia,LBR,Other Regions,False,False,,12.297091084326393,39.388150788820475,0.0035810205908683975,40.20618556701031,4,Comparable partial,22.97375211518701,22.97375211518701,94.0
116,Libya,LBY,Other Regions,False,False,,10.000320949843642,37.4465726913556,0.06445837063563116,,3,Low coverage,15.837117337278292,,
117,Liechtenstein,LIE,Other Regions,False,False,,55.11086014769327,49.06494609138953,0.007162041181736795,,3,Low coverage,34.727656093421515,,
118,Lithuania,LTU,Other Regions,False,False,3.0000000000000004,47.1488197319086,55.402883599593,1.134288272157565,36.707903780068726,5,Full coverage,28.678779076745577,28.678779076745577,66.0
119,Luxembourg,LUX,Other Regions,False,False,8.0,56.83325412920005,60.35289115152101,4.66651745747538,42.97422680412371,5,Full coverage,34.56537790846403,34.56537790846403,40.0
120,Macau,MAC,Other Regions,False,False,,39.55749231052972,21.918529814655045,0.64816472694718,,3,Low coverage,20.70806228404398,,
121,Madagascar,MDG,Other Regions,False,False,,37.23093120532322,32.52638647198561,0.007162041181736795,,3,Low coverage,23.254826572830193,,
122,Malawi,MWI,Other Regions,False,False,,12.3184973466464,36.52894667961613,0.007162041181736795,,3,Low coverage,16.28486868914809,,
123,Malaysia,MYS,Other Regions,False,False,4.0,50.06893182368455,58.280692130682006,3.7811101163831693,52.5360824742268,5,Full coverage,33.73336330899531,33.73336330899531,47.0
124,Maldives,MDV,Other Regions,False,False,,35.310464919498834,23.330986538703677,0.0035810205908683975,,3,Low coverage,19.548344159597793,,
125,Mali,MLI,Other Regions,False,False,,11.213202788560494,33.108195714065744,0.007162041181736795,,3,Low coverage,14.77618684793599,,
126,Malta,MLT,Other Regions,False,False,6.000000000000001,58.71467415773484,52.944814422866585,1.5590868397493287,6.000000000000001,5,Full coverage,25.04371508407015,25.04371508407015,87.0
127,Marshall Islands,MHL,Other Regions,False,False,,11.195357863533879,9.288273878604167,,97.42268041237114,3,Low coverage,39.30210405150306,,
128,Martinique,MTQ,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
129,Mauritania,MRT,Other Regions,False,False,,36.818199095355624,36.025025075403946,0.0,,3,Low coverage,24.281074723586524,,
130,Mauritius,MUS,Other Regions,False,False,8.0,29.33530502386265,56.46238647074587,0.544762757385855,1.0,5,Full coverage,19.068490850398874,19.068490850398874,108.0
131,Mexico,MEX,Latin America & Caribbean,True,False,3.0000000000000004,40.367930632133,48.966099186253835,1.4811996418979407,17.453608247422682,5,Full coverage,22.253767541541492,22.253767541541492,97.0
132,Micronesia,FSM,Other Regions,False,False,,7.685576667147134,4.996128069503528,,,2,Low coverage,6.340852368325331,,
133,Moldova,MDA,Other Regions,False,False,,35.452821998657235,83.67300737771612,0.0035810205908683975,,3,Low coverage,39.709803465654744,,
134,Monaco,MCO,Other Regions,False,False,,35.98426606281825,57.67892968203771,0.0,,3,Low coverage,31.221065248285317,,
135,Mongolia,MNG,Other Regions,False,False,,35.48625467174186,72.42414655224188,0.021486123545210387,,3,Low coverage,35.97729578250965,,
136,Montenegro,MNE,Other Regions,False,False,,25.959950176520227,62.60873258309496,0.017905102954341987,,3,Low coverage,29.52886262085651,,
137,Montserrat,MSR,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
138,Morocco,MAR,Other Regions,False,False,0.0,25.195349672343827,30.668029636546976,1.2842435094001792,11.309278350515463,5,Full coverage,13.691380233761288,13.691380233761288,117.0
139,Mozambique,MOZ,Other Regions,False,False,,14.405439352391403,50.943454472963744,0.010743061772605193,,3,Low coverage,21.786545629042582,,
140,Myanmar,MMR,Other Regions,False,False,,15.532056896582185,48.49978830203639,0.08236347358997313,11.34020618556701,4,Comparable partial,18.863603714443894,18.863603714443894,109.0
141,Namibia,NAM,Other Regions,False,False,,18.601848433690808,28.094087817516538,0.0035810205908683975,,3,Low coverage,15.566505757266071,,
142,Nauru,NRU,Other Regions,False,False,,12.968897885757947,13.288701203525836,,,2,Low coverage,13.128799544641891,,
143,Nepal,NPL,Other Regions,False,False,,23.741492252977324,52.32558117779654,0.07520143240823635,52.577319587628864,4,Comparable partial,32.17989861270274,32.17989861270274,53.0
144,Netherlands,NLD,Other Regions,False,False,10.0,75.88934808964109,67.35438158599467,7.325872873769024,31.378006872852236,5,Full coverage,38.389521884451405,38.389521884451405,26.0
145,New Caledonia,NCL,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
146,New Zealand,NZL,Other Regions,False,False,4.0,35.69785989653249,58.04860960265788,2.6284691136974034,34.261168384879724,5,Full coverage,26.927221399553503,26.927221399553503,75.0
147,Nicaragua,NIC,Latin America & Caribbean,True,False,,31.802168328091412,13.875646816172118,0.0,5.6701030927835046,4,Comparable partial,12.83697955926176,12.83697955926176,118.0
148,Niger,NER,Other Regions,False,False,,7.732114217213457,13.233077867618698,0.0035810205908683975,,3,Low coverage,6.989591035141007,,
149,Nigeria,NGA,Other Regions,False,False,1.0,26.00164526477854,32.2400629375399,0.8724261414503134,65.96907216494846,5,Full coverage,25.216641301743444,25.216641301743444,86.0
150,North Korea,PRK,Other Regions,False,False,,0.0,1.121278891439817,0.010743061772605193,79.38144329896907,4,Comparable partial,20.128366313045372,20.128366313045372,105.0
