SourceKey,Source,Dataset,Source_File,Source_Type,Source_Year
138,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.2.11.csv,csv,2023
139,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.1.14.csv,csv,2023
140,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.1.4.csv,csv,2023
141,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.1.13.csv,csv,2023
142,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.2.17.csv,csv,2023
143,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.2.16.csv,csv,2023
144,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.2.10.csv,csv,2023
145,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.2.5.csv,csv,2023
146,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.2.8.csv,csv,2023
147,Stanford AI Index,Stanford AI Index - Public Opinion,8. Public Opinion-2023_Data_fig_8.1.3.csv,csv,2023
148,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.1.14.csv,csv,2023
149,Stanford AI Index,Stanford AI Index - Economy,10. Economy and Education-2022_2022 AI Index Report Public Data - LinkedIn.xlsx,xlsx,2022
150,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.1.13.csv,csv,2023
151,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.1.1.csv,csv,2023
152,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.1.3.csv,csv,2023
153,Tortoise Media - The Global AI Index,Tortoise Media - Global AI Index,tortoise_vertical_parser.py,csv,2024
154,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://unesdoc.unesco.org/ark:/48223/pf0000395170/PDF/395170fre.pdf.multi,csv,2025
155,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://www.unesco.org/en/ethics-ai/observatory,csv,2025
156,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://www.unesco.org/en/ethics-ai/observatory,csv,2023
157,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/arquivosinteligenciaartificial/ebia-portaria_mcti_4-979_2021_anexo1.pdf,csv,2024
158,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://www.oecd-ilibrary.org/docserver/f97beae7-en.pdf?expires=1698060764&id=id&accname=guest&checksum=955592C4F44AF137DCCC3DA4825BC187,csv,2023
159,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://www.unesco.org/en/ethics-ai/observatory,csv,2024
160,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://ai-innovation.id/images/gallery/ebook/stranas-ka.pdf,csv,2024
161,UNESCO Global AI Ethics and Governance Observatory,UNESCO RAM,https://laws.gov.ag/wp-content/uploads/2019/02/a2013-10.pdf,csv,2024
162,WIPO (World Intellectual Property Organisation),WIPO - AI Patent Landscapes,wipo_process_patent_data.py,csv,2026
163,World Bank - GovTech Maturity Index,World Bank GovTech Maturity Index (GTMI),wbg_govtech_panel_aggregator.py,csv,2026
